cik,name,sic,sic_description,state,n_10k,n_8k,n_total_filings,tier,ticker,disrupted
0000922224,PPL Corp,4911,Electric Services,,9,195,1003,2,PPL,0
0000016918,"CONSTELLATION BRANDS, INC.",2080,Beverages,DE,8,197,1000,1,STZ,0
0001776985,BioNTech SE,2836,"Biological Products, (No Diagnostic Substances)",2M,0,0,512,1,BNTX,0
0002005951,Smurfit Westrock plc,2650,Paperboard Containers & Boxes,L2,1,22,295,1,SW,0
0000935703,"DOLLAR TREE, INC.",5331,Retail-Variety Stores,VA,8,175,1000,4,DLTR,0
0000072741,EVERSOURCE ENERGY,4911,Electric Services,MA,12,141,1001,2,ES,0
0000011544,BERKLEY W R CORP,6331,"Fire, Marine & Casualty Insurance",DE,13,123,1001,2,WRB,0
0000827052,EDISON INTERNATIONAL,4911,Electric Services,CA,12,213,1000,2,EIX,0
0001397911,LPL Financial Holdings Inc.,6200,"Security & Commodity Brokers, Dealers, Exchanges & Services",DE,10,113,1007,2,LPLA,0
0001281761,REGIONS FINANCIAL CORP,6021,National Commercial Banks,DE,8,152,1009,2,RF,0
0001378789,AerCap Holdings N.V.,7359,"Services-Equipment Rental & Leasing, NEC",P7,0,0,1000,2,AER,0
0001601712,Synchrony Financial,6199,Finance Services,NY,5,107,1014,2,SYF,0
0001802768,Royalty Pharma plc,2834,Pharmaceutical Preparations,X0,6,73,557,1,RPRX,0
0001096343,MARKEL GROUP INC.,6331,"Fire, Marine & Casualty Insurance",VA,9,89,1006,2,MKL,0
0001709048,GLOBALFOUNDRIES Inc.,3674,Semiconductors & Related Devices,E9,0,0,164,2,GFS,0
0001444406,ECOPETROL S.A.,1311,Crude Petroleum & Natural Gas,F8,0,0,938,2,EC,0
0001513845,Nebius Group N.V.,7370,"Services-Computer Programming, Data Processing, Etc.",P7,0,0,396,2,NBIS,0
0001033767,UNITED MICROELECTRONICS CORP,3674,Semiconductors & Related Devices,F5,0,0,655,2,UMC,0
0001744676,Tencent Music Entertainment Group,4832,Radio Broadcasting Stations,E9,0,0,208,2,TME,0
0001442145,"Verisk Analytics, Inc.",7374,Services-Computer Processing & Data Preparation,DE,12,130,1001,2,VRSK,0
0001410636,"American Water Works Company, Inc.",4941,Water Supply,DE,12,212,1000,2,AWK,0
0001274494,"FIRST SOLAR, INC.",3674,Semiconductors & Related Devices,DE,7,80,1000,2,FSLR,0
0000051434,INTERNATIONAL PAPER CO /NEW/,2621,Paper Mills,NY,11,160,1009,1,IP,0
0001681459,TechnipFMC plc,3533,Oil & Gas Field Machinery & Equipment,X0,10,76,674,1,FTI,0
0001758730,Tradeweb Markets Inc.,6200,"Security & Commodity Brokers, Dealers, Exchanges & Services",DE,7,62,794,2,TW,0
0000719955,WILLIAMS SONOMA INC,5700,"Retail-Home Furniture, Furnishings & Equipment Stores",DE,12,96,1001,4,WSM,0
0000020286,CINCINNATI FINANCIAL CORP,6331,"Fire, Marine & Casualty Insurance",OH,10,140,1006,2,CINF,0
0001126113,TELENOR ASA,4813,Telephone Communications (No Radiotelephone),,0,0,125,2,TELNY,0
0000026324,CURTISS WRIGHT CORP,3590,Misc Industrial & Commercial Machinery & Equipment,DE,13,110,1000,1,CW,0
0001136893,"Fidelity National Information Services, Inc.",7389,"Services-Business Services, NEC",,9,142,1004,2,FIS,0
0000798941,FIRST CITIZENS BANCSHARES INC /DE/,6022,State Commercial Banks,DE,14,177,1004,2,FCNCA,0
0000915912,AVALONBAY COMMUNITIES INC,6798,Real Estate Investment Trusts,MD,11,125,1009,2,AVB,0
0000940944,DARDEN RESTAURANTS INC,5812,Retail-Eating  Places,FL,8,73,1000,2,DRI,0
0001439124,BRAZILIAN ELECTRIC POWER CO,4911,Electric Services,D5,0,0,1004,2,AXIA,0
0001190723,TENARIS SA,3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",,0,0,748,1,TS,0
0000906107,EQUITY RESIDENTIAL,6798,Real Estate Investment Trusts,MD,12,108,1002,2,EQR,0
0001546066,PEMBINA PIPELINE CORP,1382,Oil & Gas Field Exploration Services,A0,0,0,614,2,PBA,0
0001324424,"Expedia Group, Inc.",4700,Transportation Services,DE,10,132,1001,2,EXPE,0
0000800365,FUJI PHOTO FILM CO LTD                                  /FI,0,,,0,0,35,2,FUJIY,0
0001066119,TELEFONICA BRASIL S.A.,4813,Telephone Communications (No Radiotelephone),,0,0,1000,2,VIV,0
0001818874,"SoFi Technologies, Inc.",6199,Finance Services,DE,6,78,872,2,SOFI,0
0000313927,CHURCH & DWIGHT CO INC /DE/,2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",DE,4,35,1004,1,CHD,0
0001175454,"CORPAY, INC.",7389,"Services-Business Services, NEC",DE,13,116,1000,2,CPAY,0
0001123799,WIPRO LTD,7371,Services-Computer Programming Services,,0,1,476,2,WIT,0
0000771992,PAN AMERICAN SILVER CORP,1040,Gold and Silver Ores,,0,0,892,2,PAAS,0
0001757898,STERIS plc,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",L2,7,54,608,2,STE,0
0000866374,FLEX LTD.,3672,Printed Circuit Boards,U0,9,124,1002,2,FLEX,0
0001754301,Fox Corp,4833,Television Broadcasting Stations,DE,7,66,589,2,FOXA,0
0000726958,CASEYS GENERAL STORES INC,5500,Retail-Auto Dealers & Gasoline Stations,IA,15,246,1000,4,CASY,0
0000040704,GENERAL MILLS INC,2040,Grain Mill Products,DE,8,90,1005,1,GIS,0
0000091576,KEYCORP /NEW/,6021,National Commercial Banks,OH,9,95,1000,2,KEY,0
0002058873,"Qnity Electronics, Inc.",3674,Semiconductors & Related Devices,DE,0,6,80,2,Q,0
0000858470,Coterra Energy Inc.,1311,Crude Petroleum & Natural Gas,DE,13,114,1014,2,CTRA,0
0001474432,"Everpure, Inc.",3572,Computer Storage Devices,DE,10,72,969,1,PSTG,0
0000718940,BCE INC,4813,Telephone Communications (No Radiotelephone),,0,0,865,2,BCE,0
0001330568,iShares Silver Trust,6221,Commodity Contracts Brokers & Dealers,NY,19,22,263,2,SLV,0
0000079282,"BROWN & BROWN, INC.",6411,"Insurance Agents, Brokers & Service",FL,17,165,1000,2,BRO,0
0001166003,"XPO, Inc.",4700,Transportation Services,,14,323,1006,2,XPO,0
0000895126,EXPAND ENERGY Corp,1311,Crude Petroleum & Natural Gas,OK,11,170,1007,2,EXE,1
0000910631,COCA COLA FEMSA SAB DE CV,2086,Bottled & Canned Soft Drinks & Carbonated Waters,,0,0,541,1,KOF,0
0001996862,Bunge Global SA,2070,Fats & Oils,V8,3,47,327,1,BG,0
0000033185,EQUIFAX INC,7320,"Services-Consumer Credit Reporting, Collection Agencies",GA,11,96,1000,2,EFX,0
0000108312,"Woodward, Inc.",3620,Electrical Industrial Apparatus,DE,12,151,1006,2,WWD,0
0001474968,Geely Automobile Holdings Limited/ADR,0,,,0,0,8,2,GELHY,0
0000085535,ROYAL GOLD INC,6795,Mineral Royalty Traders,DE,14,210,1005,2,RGLD,0
0001967680,Veralto Corp,3825,Instruments For Meas & Testing of  Electricity & Elec Signals,X1,3,23,244,2,VLTO,0
0002007855,"Venture Global, Inc.",4924,Natural Gas Distribution,DE,1,20,105,2,VG,0
0001142231,HEINEKEN HOLDING N V,0,,,0,0,62,2,HKHHY,0
0000920148,LABCORP HOLDINGS INC.,8071,Services-Medical Laboratories,,7,221,1000,2,LH,1
0001807794,Credo Technology Group Holding Ltd,3674,Semiconductors & Related Devices,E9,4,33,799,2,CRDO,0
0000811156,CMS ENERGY CORP,4931,Electric & Other Services Combined,MI,12,196,1000,2,CMS,0
0001988894,"Amer Sports, Inc.",2300,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,E9,0,0,97,1,AS,0
0001748790,Amcor plc,3990,Miscellaneous Manufacturing Industries,Y9,7,78,664,2,AMCR,0
0001037038,RALPH LAUREN CORP,2320,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments",DE,12,107,1000,1,RL,0
0001022079,QUEST DIAGNOSTICS INC,8071,Services-Medical Laboratories,DE,10,120,1000,2,DGX,0
0001123360,GLOBAL PAYMENTS INC,7389,"Services-Business Services, NEC",GA,10,120,1000,2,GPN,0
0001751788,DOW INC.,2821,"Plastic Materials, Synth Resins & Nonvulcan Elastomers",DE,7,87,619,1,DOW,0
0001764757,DiDi Global Inc.,7389,"Services-Business Services, NEC",E9,0,0,71,2,DIDIY,0
0001605484,Stellantis N.V.,3711,Motor Vehicles & Passenger Car Bodies,P7,0,0,648,2,STLA,0
0000100493,"TYSON FOODS, INC.",2015,Poultry Slaughtering and Processing,DE,12,155,1002,1,TSN,0
0000049071,HUMANA INC,6324,Hospital & Medical Service Plans,DE,9,142,1008,2,HUM,0
0000060086,LOEWS CORP,6331,"Fire, Marine & Casualty Insurance",DE,9,66,1000,2,L,0
0000029989,OMNICOM GROUP INC.,7311,Services-Advertising Agencies,NY,11,104,1005,2,OMC,0
0001560385,Liberty Media Corp,4833,Television Broadcasting Stations,DE,7,164,1000,2,FWONA,0
0001736297,"Astera Labs, Inc.",3674,Semiconductors & Related Devices,DE,2,18,318,2,ALAB,0
0001635327,Flutter Entertainment plc,7370,"Services-Computer Programming, Data Processing, Etc.",L2,2,126,468,2,FLUT,0
0001650372,Atlassian Corp,7372,Services-Prepackaged Software,,1,17,1000,2,TEAM,0
0001336920,"Leidos Holdings, Inc.",7373,Services-Computer Integrated Systems Design,,7,82,1001,2,LDOS,0
0001043277,"C. H. ROBINSON WORLDWIDE, INC.",4731,Arrangement of  Transportation of  Freight & Cargo,DE,10,104,1006,2,CHRW,0
0000858446,INTERCONTINENTAL HOTELS GROUP PLC /NEW/,7011,Hotels & Motels,DE,0,0,1001,2,IHG,0
0001397187,lululemon athletica inc.,2300,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,DE,14,150,1001,1,LULU,0
0001665918,US Foods Holding Corp.,5140,Wholesale-Groceries & Related Products,IL,10,133,982,3,USFD,0
0001082554,UNITED THERAPEUTICS Corp,2834,Pharmaceutical Preparations,DE,4,54,1000,1,UTHR,0
0001666700,"DuPont de Nemours, Inc.",2821,"Plastic Materials, Synth Resins & Nonvulcan Elastomers",DE,8,107,1002,1,DD,0
0000075677,PACKAGING CORP OF AMERICA,2650,Paperboard Containers & Boxes,,14,139,1009,1,PKG,0
0001161125,BANK OF CHILE,6029,"Commercial Banks, NEC",,0,0,676,2,BCH,0
0001111711,NISOURCE INC.,4931,Electric & Other Services Combined,DE,12,193,1000,2,NI,0
0000906163,NVR INC,1531,Operative Builders,VA,18,118,1000,2,NVR,0
0001039610,EDP ENERGIAS DE PORTUGAL SA,4911,Electric Services,,0,0,186,2,EDPFY,0
0000728535,HUNT J B TRANSPORT SERVICES INC,4213,Trucking (No Local),AR,9,82,1006,2,JBHT,0
0000051253,INTERNATIONAL FLAVORS & FRAGRANCES INC,2860,Industrial Organic Chemicals,NY,6,101,1000,1,IFF,0
0001754581,Futu Holdings Ltd,6211,"Security Brokers, Dealers & Flotation Companies",E9,0,0,128,2,FUTU,0
0001071739,CENTENE CORP,6324,Hospital & Medical Service Plans,DE,8,141,1003,2,CNC,0
0000868675,TELUS CORP,4812,Radiotelephone Communications,A1,0,0,820,2,TU,0
0001034054,SBA COMMUNICATIONS CORP,6798,Real Estate Investment Trusts,FL,12,125,1001,2,SBAC,0
0000733099,ROGERS COMMUNICATIONS INC,4841,Cable & Other Pay Television Services,,0,0,828,2,RCI,0
0000015615,MASTEC INC,1623,"Water, Sewer, Pipeline, Comm & Power Line Construction",FL,14,127,1000,2,MTZ,0
0000909037,CHEMICAL & MINING CO OF CHILE INC,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),F3,0,0,706,2,SQM,0
0001383312,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",7389,"Services-Business Services, NEC",DE,6,102,1001,2,BR,0
0001057352,"COSTAR GROUP, INC.",7389,"Services-Business Services, NEC",DE,15,133,1000,2,CSGP,0
0001113169,PRICE T ROWE GROUP INC,6282,Investment Advice,MD,9,63,1006,2,TROW,0
0001001807,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK,4813,Telephone Communications (No Radiotelephone),,0,0,594,2,TLK,0
0000879169,INCYTE CORP,8731,Services-Commercial Physical & Biological Research,DE,8,63,1000,2,INCY,0
0001018963,ATI INC,3317,Steel Pipe & Tubes,DE,13,187,1000,1,ATI,0
0000070318,TENET HEALTHCARE CORP,8062,"Services-General Medical & Surgical Hospitals, NEC",NV,13,191,1002,2,THC,0
0001126328,PRINCIPAL FINANCIAL GROUP INC,6321,Accident & Health Insurance,DE,6,75,1000,2,PFG,0
0000915913,ALBEMARLE CORP,2821,"Plastic Materials, Synth Resins & Nonvulcan Elastomers",VA,13,164,1000,1,ALB,0
0000746515,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,4731,Arrangement of  Transportation of  Freight & Cargo,WA,12,152,1002,2,EXPD,0
0001533232,Brookfield Renewable Partners L.P.,4911,Electric Services,D0,0,0,591,2,BEP,0
0001014473,VERISIGN INC/CA,7371,Services-Computer Programming Services,DE,11,84,1000,2,VRSN,0
0002058897,Grupo Cibest S.A.,0,,F8,0,0,30,2,CIB,0
0001002047,"NetApp, Inc.",3572,Computer Storage Devices,CA,11,101,1001,1,NTAP,0
0001170858,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO-SABESP,4941,Water Supply,D5,0,0,1001,2,SBS,0
0001874178,"Rivian Automotive, Inc. / DE",3711,Motor Vehicles & Passenger Car Bodies,DE,5,71,448,2,RIVN,0
0001677250,ZTO Express (Cayman) Inc.,4210,Trucking & Courier Services (No Air),,0,0,323,2,ZTO,0
0001101302,ENTEGRIS INC,3089,"Plastics Products, NEC",DE,10,145,1000,1,ENTG,0
0001046102,RB GLOBAL INC.,7389,"Services-Business Services, NEC",A6,5,85,1009,2,RBA,0
0000091440,Snap-on Inc,3420,"Cutlery, Handtools & General Hardware",DE,13,82,1000,1,SNA,0
0001527166,Carlyle Group Inc.,6282,Investment Advice,DE,10,94,1008,2,CG,0
0001635088,Roivant Sciences Ltd.,2834,Pharmaceutical Preparations,D0,4,69,872,1,ROIV,0
0000889132,POSCO HOLDINGS INC.,3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",,0,0,1000,1,PKX,0
0001124140,EXACT SCIENCES CORP,8071,Services-Medical Laboratories,,11,123,1004,2,EXAS,0
0001579298,"Burlington Stores, Inc.",5311,Retail-Department Stores,DE,12,127,1007,4,BURL,0
0001673358,"Yum China Holdings, Inc.",5812,Retail-Eating  Places,DE,8,90,1000,2,YUMC,0
0001264136,WOORI FINANCIAL GROUP INC.,6029,"Commercial Banks, NEC",M5,0,0,849,2,WF,0
0001136869,"ZIMMER BIOMET HOLDINGS, INC.",3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",DE,9,113,1006,2,ZBH,0
0001069202,LENNOX INTERNATIONAL INC,3585,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,DE,10,80,1013,1,LII,0
0001809587,KE Holdings Inc.,6531,Real Estate Agents & Managers (For Others),E9,0,0,396,2,BEKE,0
0001628171,"Revolution Medicines, Inc.",2836,"Biological Products, (No Diagnostic Substances)",DE,6,61,729,1,RVMD,0
0001823945,BLUE OWL CAPITAL INC.,6282,Investment Advice,NJ,6,75,596,2,OWL,0
0001796209,APi Group Corp,7340,Services-To Dwellings & Other Buildings,DE,5,86,486,2,APG,0
0001715801,Sartorius AG/ADR,0,,2M,0,0,6,2,SOAGY,0
0000106535,WEYERHAEUSER CO,6798,Real Estate Investment Trusts,WA,12,194,1000,2,WY,0
0001206264,SOMNIGROUP INTERNATIONAL INC.,2510,Household Furniture,DE,11,224,1000,1,SGI,0
0000749098,MAGNA INTERNATIONAL INC,3714,Motor Vehicle Parts & Accessories,,0,0,802,2,MGA,0
0001236275,"QXO, Inc.",5030,Wholesale-Lumber & Other Construction Materials,DE,17,157,687,3,QXO,0
0000063754,MCCORMICK & CO INC,2090,Miscellaneous Food Preparations & Kindred Products,MD,6,56,1001,1,MKC,0
0001852131,Nextpower Inc.,3812,"Search, Detection, Navigation, Guidance, Aeronautical Sys",DE,3,31,374,2,NXT,0
0001720635,nVent Electric plc,3550,Special Industry Machinery (No Metalworking Machinery),L2,8,67,701,1,NVT,0
0000017843,CARPENTER TECHNOLOGY CORP,3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",DE,12,160,1011,1,CRS,0
0001791706,Li Auto Inc.,3711,Motor Vehicles & Passenger Car Bodies,E9,0,0,308,2,LI,0
0001792044,Viatris Inc,2834,Pharmaceutical Preparations,DE,6,55,481,1,VTRS,0
0001659166,Fortive Corp,3823,"Industrial Instruments For Measurement, Display, and Control",DE,7,86,1002,2,FTV,0
0001486957,"BWX Technologies, Inc.",3510,Engines & Turbines,DE,10,92,1004,1,BWXT,0
0001493594,"MACOM Technology Solutions Holdings, Inc.",3674,Semiconductors & Related Devices,DE,9,76,1001,2,MTSI,0
0001711269,"Evergy, Inc.",4931,Electric & Other Services Combined,,8,93,692,2,EVRG,0
0000857005,PTC INC.,7372,Services-Prepackaged Software,MA,10,121,1001,2,PTC,0
0001880661,TPG Inc.,6282,Investment Advice,DE,5,49,477,2,TPG,0
0001178819,ALAMOS GOLD INC,1040,Gold and Silver Ores,A6,0,0,730,2,AGI,0
0001110803,"ILLUMINA, INC.",3826,Laboratory Analytical Instruments,DE,8,111,1001,2,ILMN,0
0001089063,"DICK'S SPORTING GOODS, INC.",5940,Retail-Miscellaneous Shopping Goods Stores,DE,13,147,1002,4,DKS,0
0001682852,"Moderna, Inc.",2836,"Biological Products, (No Diagnostic Substances)",DE,6,55,1000,1,MRNA,0
0001076378,CEMEX SAB DE CV,3241,"Cement, Hydraulic",O5,0,0,1000,1,CX,0
0001855612,Grab Holdings Ltd,7389,"Services-Business Services, NEC",U0,0,0,307,2,GRAB,0
0001145197,INSULET CORP,3841,Surgical & Medical Instruments & Apparatus,DE,12,148,1000,2,PODD,0
0001408710,Fabrinet,3661,Telephone & Telegraph Apparatus,E9,16,126,942,2,FN,0
0001521332,Aptiv PLC,3714,Motor Vehicle Parts & Accessories,Y9,10,113,1010,2,APTV,1
0000009389,BALL Corp,3411,Metal Cans,IN,9,98,1007,1,BALL,0
0001477049,Sprott Physical Gold Trust,6221,Commodity Contracts Brokers & Dealers,,0,0,298,2,PHYS,0
0001957132,"SharkNinja, Inc.",3630,Household Appliances,E9,0,3,127,2,SN,0
0001489393,LyondellBasell Industries N.V.,2860,Industrial Organic Chemicals,P7,10,107,1014,1,LYB,1
0001434265,GENMAB A/S,2834,Pharmaceutical Preparations,,0,0,518,1,GMAB,0
0001423902,"Western Midstream Partners, LP",4922,Natural Gas Transmission,DE,14,128,666,2,WES,0
0000105770,WEST PHARMACEUTICAL SERVICES INC,3841,Surgical & Medical Instruments & Apparatus,PA,12,135,1000,2,WST,0
0000352541,ALLIANT ENERGY CORP,4931,Electric & Other Services Combined,WI,13,154,1000,2,LNT,0
0001158967,NIDEC CORP,3621,Motors & Generators,,0,0,561,2,NJDCY,0
0001406234,Brookfield Infrastructure Partners L.P.,4400,Water Transportation,D0,0,1,784,2,BIP,0
0001375365,"Super Micro Computer, Inc.",3571,Electronic Computers,CA,10,161,1001,1,SMCI,0
0001402436,SS&C Technologies Holdings Inc,7372,Services-Prepackaged Software,DE,15,173,902,2,SSNC,0
0001791942,JBS N.V.,2011,Meat Packing Plants,P7,0,0,105,1,JBS,0
0000920522,"ESSEX PROPERTY TRUST, INC.",6798,Real Estate Investment Trusts,MD,14,190,1008,2,ESS,0
0000861884,"RELIANCE, INC.",5051,Wholesale-Metals Service Centers & of fices,DE,15,115,1000,3,RS,0
0001015922,CHECK POINT SOFTWARE TECHNOLOGIES LTD,7372,Services-Prepackaged Software,,0,0,500,2,CHKP,0
0000216228,ITT INC.,3561,Pumps & Pumping Equipment,,15,136,1000,1,ITT,0
0001973266,"TKO Group Holdings, Inc.",7900,Services-Amusement & Recreation Services,DE,2,36,339,2,TKO,0
0000217346,TEXTRON INC,3720,Aircraft & Parts,DE,14,109,1000,2,TXT,0
0001324948,RBC Bearings INC,3562,Ball & Roller Bearings,,13,115,1000,1,RBC,0
0001820953,"Affirm Holdings, Inc.",6141,Personal Credit Institutions,NV,5,58,652,2,AFRM,0
0001622536,Talen Energy Corp,4911,Electric Services,DE,2,78,373,2,TLN,1
0000790051,CARLISLE COMPANIES INC,3060,"Fabricated Rubber Products, NEC",DE,11,100,1000,1,CSL,0
0001047716,LATAM AIRLINES GROUP S.A.,4512,"Air Transportation, Scheduled",,0,0,834,2,LTM,1
0000910521,DECKERS OUTDOOR CORP,3021,Rubber & Plastics Footwear,DE,9,74,1001,1,DECK,0
0001810997,XPENG INC.,3711,Motor Vehicles & Passenger Car Bodies,E9,0,0,289,2,XPEV,0
0000047217,HP INC,3570,Computer & office Equipment,DE,10,124,1000,1,HPQ,0
0000105016,WATSCO INC,5070,Wholesale-Hardware & Plumbing & Heating Equipment & Supplies,FL,19,159,1000,3,WSO,0
0001447669,TWILIO INC,7372,Services-Prepackaged Software,DE,7,75,1002,2,TWLO,0
0001027552,BANCO SANTANDER CHILE,6029,"Commercial Banks, NEC",F3,0,0,720,2,BSAC,0
0000040987,GENUINE PARTS CO,5013,Wholesale-Motor Vehicle Supplies & New Parts,GA,9,111,1004,3,GPC,0
0001049502,MKS INC,3823,"Industrial Instruments For Measurement, Display, and Control",MA,12,132,1001,2,MKSI,0
0000859737,HOLOGIC INC,3844,X-Ray Apparatus & Tubes & Related Irradiation Apparatus,DE,12,162,1003,2,HOLX,0
0001069157,EAST WEST BANCORP INC,6022,State Commercial Banks,DE,15,133,1000,2,EWBC,0
0000912593,SUN COMMUNITIES INC,6798,Real Estate Investment Trusts,MD,11,232,1001,2,SUI,0
0000072331,NORDSON CORP,3569,"General Industrial Machinery & Equipment, NEC",OH,11,106,1001,1,NDSN,0
0000052988,JACOBS SOLUTIONS INC.,1600,Heavy Construction Other Than Bldg Const - Contractors,DE,11,132,1002,2,J,0
0000077360,PENTAIR plc,3550,Special Industry Machinery (No Metalworking Machinery),L2,12,133,1000,1,PNR,0
0001501585,"HUNTINGTON INGALLS INDUSTRIES, INC.",3730,Ship & Boat Building & Repairing,DE,6,51,1000,2,HII,0
0002068440,Laopu Gold Co. Ltd./ADR,0,,F4,0,0,2,2,LPGCY,0
0000711404,"COOPER COMPANIES, INC.",3851,Ophthalmic Goods,DE,14,126,1002,2,COO,0
0001069258,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",3760,Guided Missiles & Space Vehicles & Parts,DE,8,55,1005,2,KTOS,0
0000861967,WOLTERS KLUWER N V /FI,0,,P7,0,0,178,2,WTKWY,0
0001043219,ANNALY CAPITAL MANAGEMENT INC,6798,Real Estate Investment Trusts,MD,15,260,1001,2,NLY,0
0001687229,Invitation Homes Inc.,6510,Real Estate Operators (No Developers) & Lessors,,10,152,678,2,INVH,0
0001483994,H World Group Ltd,7011,Hotels & Motels,E9,0,0,390,2,HTHT,0
0001650164,"Toast, Inc.",7374,Services-Computer Processing & Data Preparation,,5,35,1008,2,TOST,0
0001402057,CDW Corp,5961,Retail-Catalog & Mail-Order Houses,DE,9,79,1008,4,CDW,0
0000912595,MID AMERICA APARTMENT COMMUNITIES INC.,6798,Real Estate Investment Trusts,TN,10,165,1008,2,MAA,0
0001494728,Sprott Physical Silver Trust,6221,Commodity Contracts Brokers & Dealers,A6,0,0,297,2,PSLV,0
0001876042,"Circle Internet Group, Inc.",6199,Finance Services,DE,0,5,207,2,CRCL,0
0002019040,Nippon Sanso Holdings Corporation/ADR,0,,,0,0,4,2,NPXYY,0
0000930157,RENTOKIL INITIAL PLC /FI,8741,Services-Management Services,X0,0,0,245,2,RTO,0
0000059527,LINCOLN ELECTRIC HOLDINGS INC,3540,Metalworkg Machinery & Equipment,OH,13,124,1009,1,LECO,0
0000864749,TRIMBLE INC.,3829,"Measuring & Controlling Devices, NEC",DE,8,104,1000,2,TRMB,0
0000904851,YPF SOCIEDAD ANONIMA,2911,Petroleum Refining,C1,0,0,1000,1,YPF,0
0001061574,CGI INC,8742,Services-Management Consulting Services,,0,0,755,2,GIB,0
0001468174,Hyatt Hotels Corp,7011,Hotels & Motels,IL,6,81,1000,2,H,0
0001567094,CNH Industrial N.V.,3531,Construction Machinery & Equip,P7,3,34,674,1,CNH,0
0001048695,"F5, INC.",3576,Computer Communications Equipment,WA,7,65,1007,1,FFIV,0
0001829667,Regencell Bioscience Holdings Ltd,2833,Medicinal Chemicals & Botanical Products,E9,0,0,65,1,RGC,0
0000832101,IDEX CORP /DE/,3561,Pumps & Pumping Equipment,DE,16,190,1000,1,IEX,0
0001086222,AKAMAI TECHNOLOGIES INC,7389,"Services-Business Services, NEC",DE,8,77,1003,2,AKAM,0
0001889539,"Corebridge Financial, Inc.",6311,Life Insurance,DE,4,65,496,2,CRBG,0
0001025378,W. P. Carey Inc.,6798,Real Estate Investment Trusts,MD,14,196,1000,2,WPC,0
0001858985,On Holding AG,3021,Rubber & Plastics Footwear,V8,0,0,169,1,ONON,0
0000062996,MASCO CORP /DE/,3430,"Heating Equip, Except Elec & Warm Air; & Plumbing Fixtures",DE,14,122,1001,1,MAS,0
0001780232,GFL Environmental Inc.,4953,Refuse Systems,A6,0,0,333,2,GFL,0
0001675149,Alcoa Corp,3334,Primary Production of  Aluminum,DE,9,147,779,1,AA,0
0001642896,Samsara Inc.,7373,Services-Computer Integrated Systems Design,DE,4,29,1000,2,IOT,0
0001324404,"CF Industries Holdings, Inc.",2870,Agricultural Chemicals,DE,11,189,1010,1,CF,0
0001618673,Performance Food Group Co,5141,"Wholesale-Groceries, General Line",DE,10,146,1000,3,PFGC,0
0000042888,GRACO INC,3561,Pumps & Pumping Equipment,MN,10,50,1005,1,GGG,0
0000845982,SMITH & NEPHEW PLC,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",,0,0,1000,2,SNN,0
0001127248,EMERA INC,4911,Electric Services,,0,0,245,2,EMA,0
0000879101,KIMCO REALTY CORP,6798,Real Estate Investment Trusts,MD,14,177,1014,2,KIM,0
0001319161,Warner Music Group Corp.,7900,Services-Amusement & Recreation Services,DE,21,290,951,2,WMG,0
0001331875,"Fidelity National Financial, Inc.",6361,Title Insurance,,9,117,1000,2,FNF,0
0000794170,"Toll Brothers, Inc.",1531,Operative Builders,DE,13,111,1002,2,TOL,0
0000008818,Avery Dennison Corp,2670,Converted Paper & Paperboard Prods (No Contaners/Boxes),DE,13,133,1000,1,AVY,0
0000021076,CLOROX CO /DE/,2842,"Specialty Cleaning, Polishing and Sanitation Preparations",DE,10,99,1000,1,CLX,0
0001985487,Joint Stock Co Kaspi.kz,7389,"Services-Business Services, NEC",1P,0,0,82,2,KSPI,0
0001633931,TopBuild Corp,1700,Construction - Special Trade Contractors,DE,10,109,680,2,BLD,0
0000110621,RPM INTERNATIONAL INC/DE/,2851,"Paints, Varnishes, Lacquers, Enamels & Allied Prods",DE,13,132,1007,1,RPM,0
0000352915,UNIVERSAL HEALTH SERVICES INC,8062,"Services-General Medical & Surgical Hospitals, NEC",DE,16,166,1001,2,UHS,0
0001037976,JONES LANG LASALLE INC,6531,Real Estate Agents & Managers (For Others),MD,10,90,1007,2,JLL,0
0001719117,ASR Nederland N.V./ADR,0,,P7,0,0,6,2,ARNNY,0
0000822818,CLEAN HARBORS INC,4955,Hazardous Waste Management,MA,9,78,1000,2,CLH,0
0002082866,"Pinnacle Financial Partners, Inc.",6021,National Commercial Banks,GA,0,2,97,2,PNFP,0
